"May 2020 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","245","","","","","","","","",""
"Retired","141","","","","","","","","",""
"Rename","106","","","","","","","","",""
"Move","61","","","","","","","","",""
"Move & Rename","26","","","","","","","","",""
"Total","579","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Dental Amalgamators","","","","63993","",""
"","","","","Dental Dust Collectors","","","","185189","",""
"","","","","Dental Lasers","","","","185190","",""
"","","","","Dialysis Machines","","","","184531","",""
"","","","","Dissolved Oxygen Meters","","","","185191","",""
"","","","","ECG & EKG Machines","","","","100005","",""
"","","","","EEG Systems","","","","184522","",""
"","","","","Electrocautery & Electrosurgery","","","","185192","",""
"","","","","Electronic Apex Locators","","","","185193","",""
"","","","","Electronic Stethoscopes","","","","185194","",""
"","","","","Environmental Test Chambers","","","","185195","",""
"","","","","Fetal Dopplers & Vascular Dopplers","","","","117028","",""
"","","","","Fiber Optic Illuminators/Light Sources","","","","185196","",""
"","","","","Fundus Cameras","","","","185197","",""
"","","","","Gel Electrophoresis Systems","","","","185198","",""
"","","","","Heating Mantles","","","","119116","",""
"","","","","Hyperbaric Chambers","","","","184529","",""
"","","","","Insufflators","","","","113733","",""
"","","","","Intraoral Cameras","","","","185199","",""
"","","","","Lab Evaporators","","","","119114","",""
"","","","","Lab Freezers & Refrigerators","","","","48731","",""
"","","","","Lab Furnaces & Ovens","","","","185200","",""
"","","","","Lab Incubators","","","","185201","",""
"","","","","Lab Jacks/Lifting Platforms","","","","185202","",""
"","","","+","Lab Lasers","","","","185203","",""
"","","","+","Lab Mixers, Shakers & Stirrers","","","","185209","",""
"","","","","Lab Presses","","","","185215","",""
"","","","","Lab Reactors","","","","185216","",""
"","","","","Lab Refractometers","","","","185217","",""
"","","","","Lab Scales & Beam Balances","","","","185218","",""
"","","","","Lensmeters","","","","185219","",""
"","","","","Luminometers","","","","185220","",""
"","","","","Medical & Lab Pumps","","","","184511","",""
"","","","","Medical Thermometers","","","","104224","",""
"","","","","Microarray Scanners","","","","185221","",""
"","","","","Microplate Washers","","","","185222","",""
"","","","","Microscopes","","","","185223","",""
"","","","","Microtomes","","","","159697","",""
"","","","","Model Trimmers","","","","185224","",""
"","","","","Moisture Analyzers","","","","185225","",""
"","","","","MRI Systems","","","","184541","",""
"","","","","Nebulizers","","","","185226","All listings are being moved into [Other Medical & Lab Equipment - 185256].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Nurse Call Equipment","","","","184508","",""
"","","","","Orthopedic Goniometers","","","","185227","",""
"","","","","Pachymeters","","","","185228","",""
"","","","","Particle Counters","","","","185229","",""
"","","","","Patient Monitors","","","","100006","",""
"","","","","Patient Warming Units","","","","185230","",""
"","","","","PCR Thermal Cyclers","","","","185231","",""
